id,dep_fio,fractions,dep_link,frac_link
1,Абдалиев Мейкинбек Акимович,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/196/abdaliev-meykinbek-akimovich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
2,Абдыкеримов Шаршенбек Шайлообекович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/176/abdikerimov-sharshenbek-shayloobekovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
3,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/51/abdildaev-miktibek-yusupovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
4,Абдылдаев Шералы Итибаевич,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/197/abdildaev-sherali-itibaevich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
5,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/56/abzhaliev-aliyarbek-tokobekovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
6,Айдаров Нургазы Абдыраевич,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/177/aydarov-nurgazi-abdiraevich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
7,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/105/aydarov-salaydin-abdiraevich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
8,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/4/aynakulov-muhtarbek-aynakulovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
9,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/5/akaev-zhanarbek-kubanichovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
10,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/75/alimbekov-nurbek-kaarievich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
